UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
D5412B6FB77449EDB6D5CF946F8276EE,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,15/03/2023,6177,PUE,No definido,MXN
D495F294D6DE4D268CA54A2F2BE6C86C,C**** S****S****,CSS010101**0,"""**** D****G****",AGE010101**5,,25/08/2023,1833.68,PUE,No definido,MXN
D4863EACF26F404BA946FBAC9A1FAF99,C**** S****S****,CSS010101**0,B**** A****S****,BAI010101**8,,02/01/2023,0,PUE,No definido,MXN
D3F2923042114181B5ACF26FC67F0050,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,14/04/2023,56888.21,PUE,No definido,MXN
D3A218E742BC44B69641B705C713F160,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,30/06/2023,5144.06,PUE,No definido,MXN
D31BD485008F4E338F072271AEF99686,S**** B****F****,SBF010101**0,S**** D****T****,STP010101**6,,03/05/2023,4172.4,PPD,No definido,MXN
D2E58CDBD4BA4173AE6266AEF287447A,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,31/07/2023,63025.4,PUE,No definido,MXN
D2AFB2037DD940369507A14914D915F9,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,16/05/2023,5144.72,PUE,No definido,MXN
D2A83B662C9D4E9F9953810518BB34F7,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,01/02/2023,3940,PUE,No definido,MXN
D2846864214740A89FC9F5802FD5600F,C**** S****S****,CSS010101**0,G****,GLO010101**1,,27/10/2023,2842,PPD,No definido,MXN
D1CA6682076D4916BCF7841A31D7B159,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,,15/09/2023,3111.6,PUE,No definido,MXN
D1AA60496E8948EB93D86A711E8B6A70,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,,16/10/2023,3111.6,PUE,31/10/2023,MXN
