idTransaccion,Empresa,Fecha,Hora,Banco,Cuenta,Concepto,Monto,Cargo,Abono,Moneda,MontoPosterior,Referencia,TipoCuenta,ClaveRastreo,TipoMovimiento,BancoEmisor,BancoReceptor,CuentaEmisora,CuentaReceptora,AliasCuenta,NombreEmisor,RFCEmisor,NombreReceptor,RFCReceptor,CEP_Dia,CEP_Mes,CEP_Anio,CEP_Hora,CEP_ClaveRastreo,CEP_Amount,CEP_IVA,CEP_Concepto,CEP_RFCReceptor,CEP_NombreReceptor,CEP_CuentaReceptora,CEP_BancoReceptor,CEP_RFCEmisor,CEP_NombreEmisor,CEP_CuentaEmisora,CEP_BancoEmisor,Categoria
e05c5f924e930f609ea4788fb60d815d,Empresa A,17/08/23,0:00:00,BANAMEX,BANAMEX ****3404,PAGO A PROV.BANOR1A9DEA3AB3B2411E,62769.92,0,62769.92,MXN,295455.85,NA,Cheques,NA,Ingreso interbancario,NA,BANAMEX,NA,2.1807E+15,CBMX3404,NA,NA,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12df7b7eb7046077d1887a5f1085696e,Empresa B,17/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071283415  0022000648,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a4002a6d350ace3f3f1c02b5000d2039,Empresa A,17/08/23,0:00:00,BANAMEX,BANAMEX ****3404,PAGO A PROV.BANORF2FDE966B491436E,160691,0,160691,MXN,456146.85,NA,Cheques,NA,Ingreso interbancario,NA,BANAMEX,NA,2.1807E+15,CBMX3404,NA,NA,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c443bf5848a67463285c7efe27c78265,Empresa A,17/08/23,0:00:00,BANAMEX,BANAMEX ****3404,PAGO A PROV.BANORA6FA04584E2B4A2B,198352.95,0,198352.95,MXN,232685.93,NA,Cheques,NA,Ingreso interbancario,NA,BANAMEX,NA,2.1807E+15,CBMX3404,NA,NA,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f05b3cef0101c19eab0e76f0527ba497,Empresa A,17/08/23,0:00:00,BANAMEX,BANAMEX ****3404,PAGO A PROV.BANOR06E3E7D585DB46A2,375991.82,0,375991.82,MXN,832138.67,NA,Cheques,NA,Ingreso interbancario,NA,BANAMEX,NA,2.1807E+15,CBMX3404,NA,NA,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603efe88c9591e5a4ad79a6383fb5a7b,Empresa B,17/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071284414  0027037227,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
820feeb48140dd428e2b917e16ab43f6,Empresa B,17/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071284442  0022000648,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a0fa1ad36327ad11ae49e6e9a1795aa7,Empresa B,17/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071283429  0024187992,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ab85e2b60cd11f2946330d2db69aa882,Empresa B,17/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071284460  0024187992,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cc7e7940f185929671b034df838383f3,Empresa A,16/08/23,0:00:00,INBURSA,INBURSA ****0900,F407,29000,0,29000,MXN,0,1645967,Cheques,CIE-0100230816410068,Ingreso interbancario,040012|BBVA MEXICO,INBURSA,1.258E+16,3.61805E+16,CodeINB,Empresa OPay,EXP010101X01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
